iso_year,iso_week,wdsp,glorad,maxtp,mintp,rain,station_no,station_name
2003,33,8.95,1938.5,18.725,11.4,0.825,275,Mace Head
2003,34,13.971428571428572,1061.857142857143,18.942857142857143,14.585714285714285,0.9714285714285714,275,Mace Head
2003,35,11.4,1468.142857142857,18.885714285714283,12.014285714285714,0.08571428571428573,275,Mace Head
2003,36,10.016666666666666,1411.5,17.416666666666668,12.35,4.466666666666667,275,Mace Head
2003,37,15.375,1145.25,16.725,12.15,1.575,275,Mace Head
2003,41,15.566666666666668,495.8333333333333,14.983333333333334,12.466666666666667,0.48333333333333334,275,Mace Head
2003,42,12.642857142857142,734.7142857142857,14.299999999999999,8.428571428571429,0.014285714285714287,275,Mace Head
2003,43,8.642857142857142,800.1428571428571,10.928571428571429,3.5,0.7999999999999999,275,Mace Head
2003,44,15.125,415.0,12.7,7.025,4.0,275,Mace Head
2003,45,20.814285714285713,300.57142857142856,13.571428571428571,9.085714285714285,3.242857142857143,275,Mace Head
2003,46,17.7,247.14285714285714,11.685714285714285,8.471428571428572,5.928571428571429,275,Mace Head
2003,47,14.185714285714287,270.2857142857143,11.557142857142859,8.128571428571428,1.5857142857142856,275,Mace Head
2003,48,16.84285714285714,244.85714285714286,10.12857142857143,5.257142857142857,4.8428571428571425,275,Mace Head
2003,49,6.4399999999999995,321.4,9.84,3.9200000000000004,0.0,275,Mace Head
2003,50,16.24,149.0,10.68,6.279999999999999,5.819999999999999,275,Mace Head
2003,51,13.814285714285715,161.57142857142858,9.828571428571427,6.328571428571428,2.3857142857142857,275,Mace Head
2003,52,17.65,101.0,10.466666666666667,6.666666666666667,0.7999999999999999,275,Mace Head
2004,1,14.7,99.8,10.22,4.5,5.26,275,Mace Head
2004,2,22.514285714285712,201.57142857142858,10.514285714285714,6.971428571428571,5.928571428571429,275,Mace Head
2004,3,18.314285714285713,267.0,8.871428571428572,3.5,7.385714285714286,275,Mace Head
2004,4,13.299999999999999,213.57142857142858,9.457142857142857,6.485714285714286,1.1428571428571428,275,Mace Head
2004,5,13.414285714285715,315.85714285714283,8.285714285714286,3.1,5.314285714285715,275,Mace Head
2004,6,21.12857142857143,370.2857142857143,10.385714285714286,7.257142857142857,2.9714285714285715,275,Mace Head
2004,7,9.957142857142857,439.85714285714283,9.942857142857141,5.685714285714285,0.32857142857142857,275,Mace Head
2004,8,9.885714285714286,857.8571428571429,8.542857142857143,1.9285714285714286,0.042857142857142864,275,Mace Head
2004,9,10.242857142857144,866.5714285714286,7.028571428571429,0.8,0.5428571428571429,275,Mace Head
2004,10,10.771428571428572,981.7142857142857,9.928571428571429,4.371428571428572,1.657142857142857,275,Mace Head
2004,11,19.114285714285717,786.1428571428571,8.528571428571428,4.1,3.8000000000000003,275,Mace Head
2004,12,24.014285714285712,941.7142857142857,10.657142857142857,6.957142857142857,5.771428571428571,275,Mace Head
2004,13,12.485714285714286,1339.142857142857,10.771428571428572,5.557142857142857,0.5,275,Mace Head
2004,14,14.671428571428573,1329.4285714285713,11.971428571428572,6.6000000000000005,2.957142857142857,275,Mace Head
2004,15,13.614285714285714,1382.4285714285713,11.799999999999999,6.6000000000000005,0.41428571428571426,275,Mace Head
2004,16,13.057142857142855,1308.7142857142858,10.700000000000001,5.528571428571429,4.942857142857143,275,Mace Head
2004,17,16.47142857142857,1371.857142857143,12.157142857142857,8.457142857142857,2.042857142857143,275,Mace Head
2004,18,14.5,1853.7142857142858,13.757142857142856,7.7,0.08571428571428572,275,Mace Head
2004,19,18.885714285714283,1968.857142857143,12.242857142857144,7.042857142857143,2.314285714285714,275,Mace Head
2004,20,8.9,1422.142857142857,13.5,10.557142857142859,0.028571428571428574,275,Mace Head
2004,21,10.12857142857143,2428.714285714286,14.614285714285714,8.7,0.042857142857142864,275,Mace Head
2004,22,11.857142857142858,2469.0,16.914285714285715,10.6,1.5285714285714285,275,Mace Head
2004,23,10.542857142857143,1580.0,15.285714285714286,11.685714285714285,0.27142857142857146,275,Mace Head
2004,24,13.72857142857143,1829.857142857143,17.271428571428572,12.785714285714286,0.8857142857142858,275,Mace Head
2004,25,14.6,1919.2857142857142,15.842857142857142,11.242857142857144,0.32857142857142857,275,Mace Head
2004,26,15.828571428571427,2207.4285714285716,15.728571428571428,10.5,5.6571428571428575,275,Mace Head
2004,27,18.642857142857142,1971.857142857143,15.828571428571427,12.014285714285714,2.7285714285714286,275,Mace Head
2004,28,7.4,2240.5,16.2,10.65,0.85,275,Mace Head
2004,29,11.775,1915.5,16.35,12.35,0.3,275,Mace Head
2004,30,16.314285714285713,1557.2857142857142,16.685714285714287,12.985714285714286,2.0714285714285716,275,Mace Head
2004,31,8.885714285714286,1647.857142857143,17.74285714285714,13.185714285714285,1.5,275,Mace Head
2004,32,12.971428571428572,1600.2857142857142,18.842857142857145,13.142857142857142,1.3,275,Mace Head
2004,33,9.171428571428573,1626.5714285714287,20.114285714285717,13.814285714285715,1.157142857142857,275,Mace Head
2004,34,11.5,1525.7142857142858,18.04285714285714,12.4,1.9714285714285713,275,Mace Head
2004,35,15.728571428571428,1329.857142857143,16.871428571428574,13.328571428571427,2.442857142857143,275,Mace Head
2004,36,11.857142857142858,1067.5714285714287,16.742857142857144,12.642857142857142,1.5999999999999999,275,Mace Head
2004,37,16.228571428571428,1167.2857142857142,19.657142857142855,13.357142857142858,3.185714285714286,275,Mace Head
2004,38,24.75714285714286,921.4285714285714,14.942857142857141,11.185714285714285,5.728571428571429,275,Mace Head
2004,39,20.385714285714283,715.2857142857143,14.771428571428572,11.357142857142858,0.7000000000000001,275,Mace Head
2004,40,16.885714285714286,527.25,14.428571428571429,11.0,4.271428571428571,275,Mace Head
2004,41,16.914285714285715,,13.299999999999999,7.857142857142857,1.3142857142857143,275,Mace Head
2004,42,11.457142857142857,,12.542857142857143,7.457142857142857,2.6,275,Mace Head
2004,43,11.642857142857142,,10.485714285714286,5.057142857142857,8.357142857142858,275,Mace Head
2004,44,15.742857142857144,,12.5,8.557142857142857,1.557142857142857,275,Mace Head
2004,45,13.885714285714286,273.14285714285717,11.928571428571429,9.357142857142858,0.4857142857142857,275,Mace Head
2004,46,14.799999999999999,307.57142857142856,11.257142857142856,8.442857142857143,0.2857142857142857,275,Mace Head
2004,47,15.928571428571429,161.28571428571428,10.87142857142857,7.285714285714286,6.014285714285714,275,Mace Head
2004,48,12.5,222.42857142857142,11.314285714285715,8.742857142857142,0.7714285714285715,275,Mace Head
2004,49,12.428571428571429,181.28571428571428,10.185714285714285,6.3999999999999995,1.0,275,Mace Head
2004,50,14.728571428571428,116.14285714285714,10.842857142857143,7.328571428571428,3.2714285714285714,275,Mace Head
2004,51,21.842857142857145,166.0,10.057142857142859,6.3999999999999995,5.5,275,Mace Head
2004,52,23.542857142857144,145.28571428571428,9.785714285714286,5.457142857142857,3.585714285714286,275,Mace Head
2004,53,23.485714285714288,151.14285714285714,10.442857142857141,5.457142857142857,2.842857142857143,275,Mace Head
2005,1,27.071428571428573,140.85714285714286,10.971428571428572,7.1571428571428575,6.728571428571429,275,Mace Head
2005,2,21.099999999999998,240.71428571428572,10.171428571428573,6.385714285714285,7.8999999999999995,275,Mace Head
2005,3,2.5,209.57142857142858,9.328571428571427,3.414285714285714,3.685714285714286,275,Mace Head
2005,4,5.8999999999999995,337.2857142857143,9.442857142857141,6.171428571428572,0.0,275,Mace Head
2005,5,11.842857142857143,382.14285714285717,9.042857142857143,4.7,1.3571428571428572,275,Mace Head
2005,6,19.614285714285717,434.7142857142857,9.4,5.271428571428571,3.542857142857143,275,Mace Head
2005,7,10.228571428571428,407.85714285714283,8.542857142857143,6.1000000000000005,0.5714285714285714,275,Mace Head
2005,8,10.0,702.2857142857143,7.385714285714286,0.8,0.4857142857142857,275,Mace Head
2005,9,12.528571428571428,952.2857142857143,8.342857142857143,2.814285714285714,0.9571428571428571,275,Mace Head
