grower_label,site_key,location_id,location_name,iso_year,iso_week,week_start,risk_score,risk_score_raw,clim_score,risk_vs_clim,risk_band,count_dinophysis,y_dinophysis,y_dinophysis_nowcast,dsp_closure_risk,sst,ssta,status,role,split,latitude,longitude
Killary Middle,killary_middle,172,Killary Harbour Middle,2002,47,2002-11-18,0.0005931198102016608,0.0029261163068908668,0.008944543828264758,-0.008351424018063098,Lower,0.0,0,0,0.0703125,12.22,0.6503409090909109,active,nmp_core,drop,53.60389,-9.80278
Killary Outer,killary_outer,175,Killary Harbour Outer,2002,47,2002-11-18,0.0005931198102016608,0.003275629755767456,0.008944543828264758,-0.008351424018063098,Lower,0.0,0,0,,12.22,0.6503409090909109,active,nmp_core,drop,53.61472,-9.83306
Killary Outer,killary_outer,175,Killary Harbour Outer,2003,3,2003-01-13,0.0,0.0004911981363821901,0.0,0.0,Lower,0.0,0,0,0.0703125,10.09,0.8900727272727273,active,nmp_core,train,53.61472,-9.83306
Killary Middle,killary_middle,172,Killary Harbour Middle,2003,14,2003-03-31,0.005025125628140704,0.007397507737973213,0.010810810810810811,-0.005785685182670108,Lower,0.0,0,0,0.03162055335968379,10.15,0.8466058394160605,active,nmp_core,train,53.60389,-9.80278
Killary Middle,killary_middle,172,Killary Harbour Middle,2003,16,2003-04-14,0.0005931198102016608,0.0046393629505033515,0.02773246329526917,-0.027139343485067507,Lower,0.0,0,0,0.03162055335968379,10.21,0.07534545454545416,active,nmp_core,train,53.60389,-9.80278
Killary Middle,killary_middle,172,Killary Harbour Middle,2003,17,2003-04-21,0.020761245674740483,0.02569294834789346,0.03741496598639456,-0.016653720311654074,Lower,0.0,0,0,0.09352517985611511,10.39,-0.16698181818181723,active,nmp_core,train,53.60389,-9.80278
Killary Middle,killary_middle,172,Killary Harbour Middle,2003,18,2003-04-28,0.022222222222222223,0.05127187268424714,0.0713128038897893,-0.04909058166756708,Lower,0.0,0,0,0.0703125,11.12,0.21694545454545278,active,nmp_core,train,53.60389,-9.80278
Killary Middle,killary_middle,172,Killary Harbour Middle,2003,19,2003-05-05,0.0673758865248227,0.1480929146073516,0.12423312883435583,-0.05685724230953314,Lower,0.0,0,0,0.0703125,10.78,-0.5025454545454551,active,nmp_core,train,53.60389,-9.80278
Killary Middle,killary_middle,172,Killary Harbour Middle,2003,21,2003-05-19,0.0673758865248227,0.260050800453729,0.2021604938271605,-0.13478460730233782,Lower,0.0,0,0,0.052845528455284556,11.37,-0.7808727272727278,active,nmp_core,train,53.60389,-9.80278
Killary Middle,killary_middle,172,Killary Harbour Middle,2003,22,2003-05-26,0.1491442542787286,0.4307930502453038,0.23323170731707318,-0.08408745303834458,Moderate,0.0,0,0,0.0703125,13.33,0.3537090909090903,active,nmp_core,train,53.60389,-9.80278
Killary Middle,killary_middle,172,Killary Harbour Middle,2003,23,2003-06-02,0.1491442542787286,0.5083779181170736,0.29337539432176657,-0.14423114004303797,Moderate,0.0,0,0,0.0703125,12.89,-0.6046350364963491,active,nmp_core,train,53.60389,-9.80278
Killary Middle,killary_middle,172,Killary Harbour Middle,2003,24,2003-06-09,0.38565022421524664,0.7185049172286189,0.34532374100719426,0.04032648320805238,Higher,0.0,0,1,0.09352517985611511,14.01,0.2184727272727276,active,nmp_core,train,53.60389,-9.80278
Killary Outer,killary_outer,175,Killary Harbour Outer,2003,24,2003-06-09,0.3978102189781022,0.7491163097801045,0.34532374100719426,0.05248647797090794,Higher,80.0,0,0,0.1423948220064725,14.01,0.2184727272727276,active,nmp_core,train,53.61472,-9.83306
Killary Middle,killary_middle,172,Killary Harbour Middle,2003,25,2003-06-16,0.38565022421524664,0.6982792660849073,0.33948863636363635,0.046161587851610286,Higher,0.0,0,1,,14.05,-0.005036496350365738,active,nmp_core,train,53.60389,-9.80278
Killary Middle,killary_middle,172,Killary Harbour Middle,2003,26,2003-06-23,0.3978102189781022,0.7702962166004871,0.36123348017621143,0.036576738801890774,Higher,160.0,1,1,0.25308641975308643,14.46,0.11978181818181888,active,nmp_core,train,53.60389,-9.80278
Killary Middle,killary_middle,172,Killary Harbour Middle,2003,27,2003-06-30,0.38565022421524664,0.7013208192305225,0.36623748211731044,0.019412742097936198,Higher,240.0,1,1,0.2665274878218511,14.84,0.18400000000000105,active,nmp_core,train,53.60389,-9.80278
Killary Middle,killary_middle,172,Killary Harbour Middle,2003,28,2003-07-07,0.1016260162601626,0.3991089887495802,0.33476394849785407,-0.23313793223769147,Moderate,0.0,0,0,0.2665274878218511,15.32,0.15963503649635236,active,nmp_core,train,53.60389,-9.80278
Killary Middle,killary_middle,172,Killary Harbour Middle,2003,29,2003-07-14,0.1016260162601626,0.4227009425016295,0.32905982905982906,-0.22743381279966646,Moderate,0.0,0,0,0.2665274878218511,15.67,0.1623722627737223,active,nmp_core,train,53.60389,-9.80278
Killary Middle,killary_middle,172,Killary Harbour Middle,2003,30,2003-07-21,0.1491442542787286,0.4387362126647881,0.3357348703170029,-0.1865906160382743,Moderate,0.0,0,0,0.2665274878218511,15.9,0.20298181818181682,active,nmp_core,train,53.60389,-9.80278
