year,month,meant,maxtp,mintp,mnmax,mnmin,rain,gmin,wdsp,maxgt,sun,station_no,station_name
1945,1,4.5,12.1,-6.3,7.0,2.0,114.8,-7.3,12.4,66.0,67.1,2275,Valentia Observatory
1945,2,8.9,12.7,1.9,11.1,6.7,164.7,-2.0,14.8,59.0,55.4,2275,Valentia Observatory
1945,3,9.5,17.8,0.1,12.1,6.9,70.9,-1.7,11.4,56.0,97.6,2275,Valentia Observatory
1945,4,10.8,23.9,1.2,13.8,7.8,44.0,-2.2,12.3,59.0,138.8,2275,Valentia Observatory
1945,5,11.9,21.8,1.6,15.0,8.9,131.2,-1.7,11.3,49.0,163.2,2275,Valentia Observatory
1945,6,13.3,23.6,5.9,15.9,10.6,115.3,3.4,11.5,41.0,147.6,2275,Valentia Observatory
1945,7,15.4,20.5,9.9,17.7,13.1,117.5,6.6,10.0,52.0,141.1,2275,Valentia Observatory
1945,8,15.7,24.4,8.0,18.5,12.9,100.6,4.2,10.0,57.0,152.5,2275,Valentia Observatory
1945,9,14.9,20.9,9.5,17.5,12.2,133.8,6.2,9.1,57.0,84.5,2275,Valentia Observatory
1945,10,13.4,21.1,6.2,16.3,10.5,158.9,2.4,10.2,63.0,130.6,2275,Valentia Observatory
1945,11,10.3,15.1,0.1,12.6,8.0,42.2,-1.8,8.7,54.0,41.0,2275,Valentia Observatory
1945,12,8.8,13.5,2.4,11.0,6.6,249.9,-1.6,11.8,54.0,32.7,2275,Valentia Observatory
1946,1,7.5,12.3,-0.7,9.6,5.4,205.3,-4.8,13.5,57.0,45.6,2275,Valentia Observatory
1946,2,8.1,12.3,-3.2,10.1,6.1,74.1,-5.1,11.9,58.0,44.8,2275,Valentia Observatory
1946,3,7.8,19.9,-2.2,10.9,4.8,71.1,-4.4,10.2,46.0,103.5,2275,Valentia Observatory
1946,4,9.4,18.5,0.9,12.8,6.0,56.1,-1.7,9.5,48.0,164.0,2275,Valentia Observatory
1946,5,11.6,20.8,4.7,15.6,7.7,85.4,1.6,11.3,49.0,220.9,2275,Valentia Observatory
1946,6,12.3,17.2,5.2,15.0,9.6,108.0,2.9,11.2,48.0,162.0,2275,Valentia Observatory
1946,7,14.2,20.1,7.9,16.7,11.6,97.4,5.1,10.0,39.0,155.9,2275,Valentia Observatory
1946,8,13.8,18.3,7.0,16.2,11.4,152.0,3.3,9.8,46.0,100.7,2275,Valentia Observatory
1946,9,14.0,20.8,8.9,16.2,11.8,192.9,6.4,13.1,53.0,75.3,2275,Valentia Observatory
1946,10,11.8,17.9,2.7,14.4,9.3,121.4,-0.2,10.1,49.0,74.6,2275,Valentia Observatory
1946,11,9.8,18.2,2.0,12.0,7.5,190.4,-1.7,12.8,56.0,63.9,2275,Valentia Observatory
1946,12,6.7,12.2,-4.4,9.4,4.0,194.6,-7.3,12.8,68.0,63.4,2275,Valentia Observatory
1947,1,6.0,12.3,-5.9,8.4,3.6,233.0,-8.7,14.6,68.0,57.0,2275,Valentia Observatory
1947,2,2.7,8.9,-4.7,4.9,0.4,117.9,-7.1,13.1,67.0,61.9,2275,Valentia Observatory
