Sin,AreaName,SiteName,latitude,longitude,source,confidence,detail
LH-249-129-04,Seilebost,Seilebost Indicator,57.8654356,-6.9494431,nominatim,low,"q=Seilebost;Seilebost, Na h-Eileanan Siar, Alba / Scotland, HS3 3HP, United Kingdom"
LH-249-129-08,Seilebost,Seilebost Indicator,57.8654356,-6.9494431,nominatim,low,"q=Seilebost;Seilebost, Na h-Eileanan Siar, Alba / Scotland, HS3 3HP, United Kingdom"
AB-515-935-08,Sound of Gigha,Sound of Gigha Indicator,55.6810203,-5.6988254,nominatim,low,"q=Sound of Gigha;Sound of Gigha, Ardminish, Alba / Scotland, United Kingdom"
SI-421-825-08,South Voe Mussels,South Voe Mussels,60.0736009,-1.33012,nominatim,low,"q=South Voe, Shetland;South Voe, Burra and Trondra, Bridge End, Shetland Islands, Alba / Scotland, United Kingdom"
SI-261-444-08,South of Houss Holm,South of Houss Holm,60.0643258,-1.3249676,nominatim,low,"q=Houss, Burra, Shetland;Houss, Burra and Trondra, Shetland Islands, Alba / Scotland, United Kingdom"
SI-373-1096-08,Stream Sound: Ux Ness,Easterdale,60.1424634,-1.185683,nominatim,low,"q=Stream Sound, Shetland;Burn of Sound, Sound, Lerwick, Shetland Islands, Alba / Scotland, ZE1 0SR, United Kingdom"
UB-282-165-04,Traigh Mhor,Traigh Mhor,57.0227321,-7.4362198,nominatim,low,"q=Traigh Mhor;Traigh Mhòr, Àird Mhòr, Na h-Eileanan Siar, Alba / Scotland, United Kingdom"
SI-321-462-08,Vementry South,Seggi Bight,60.3261462,-1.4570347,nominatim,medium,"q=Vementry, Shetland;Vementry, Shetland Islands, Alba / Scotland, United Kingdom"
DG-305-1880-16,Wigtown Bay: Islands of Fleet,Fleet Bay Razors,54.8188593,-4.2244872,nominatim,low,"q=Islands of Fleet, Scotland;Islands of Fleet, Carrick, Dumfries and Galloway, Alba / Scotland, United Kingdom"
AB-695-1507-04,Kilfinichen Bay,Kilfinichen Bay,56.37735472441474,-6.069997154258818,osgb_closure,high,n_osgb=2
AB-695-1507-08,Kilfinichen Bay,Kilfinichen Bay,56.37735472441474,-6.069997154258818,osgb_closure,high,n_osgb=2
HL-892-937-08,Loch Ailort,Eilean Dubh,56.86402296087173,-5.70190919422882,osgb_closure,high,n_osgb=4
HL-118-215-08,Loch Beag,Ardnambuth,56.88621160999825,-5.742501539015901,osgb_closure,high,n_osgb=2
AB-147-035-08,Loch Fyne: Ardkinglas Oysters,The Point,56.248549497518546,-4.963263380247957,osgb_closure,high,n_osgb=4
AB-147-036-13,Loch Fyne: Ardkinglas Oysters,The Shore,56.248549497518546,-4.963263380247957,osgb_closure,high,n_osgb=4
HS-157-310-08,Loch Glencoul,Kylesku,58.257190456164714,-5.001121543558185,osgb_closure,high,n_osgb=4
HS-162-1000-08,Loch Inchard,Loch Inchard mussels,58.44438255536738,-5.016525244795647,osgb_closure,high,n_osgb=8
HS-162-311-08,Loch Inchard,Loch Inchard - Site 1 - D. Ross,58.44438255536738,-5.016525244795647,osgb_closure,high,n_osgb=8
HS-167-320-08,Loch Laxford,Weavers Bay,58.39988028293616,-5.081131291068741,osgb_closure,high,n_osgb=10
HL-170-222-08,Loch Leven: Lower,Lower,56.68269519397861,-5.153759013543177,osgb_closure,high,n_osgb=4
LH-338-720-08,Loch Roag: Eilean Teinish,Eilean Teinish,58.20652763845824,-6.901902209483776,osgb_closure,high,n_osgb=4
LH-188-123-08,Loch Roag: Miavaig,Miavaig,58.19796694109734,-6.938376768213349,osgb_closure,high,n_osgb=4
HL-206-1237-08,Loch Sunart,Liddesdale,56.681278823183014,-5.623934574235028,osgb_closure,high,n_osgb=5
HL-004-202-13,Arisaig,Sgeirean Buidhe,56.90689185,-5.88027109,sepa_swpa,high,match=area_exact;sepa=Arisaig
HL-005-204-16,Arisaig: Morar Sands,Morar Sands,56.90689185,-5.88027109,sepa_swpa,medium,match=fuzzy_unique;sepa=Arisaig
NA-007-329-08,Arran: Lamlash Bay,Lamlash Bay,55.52265999,-5.11152871,sepa_swpa,medium,match=fuzzy_unique;sepa=Lamlash
