site,variable,period,value,unit,agg,east,north,dist_m,lat_ref,lon_ref,n_cells,source_file
killary,TMIN,ANN,7.6,degC,nearest_cell,77000.0,265000.0,691.0,53.62,-9.87,1,IE_TMIN_9120_V2.txt
killary,TMIN,JJA,11.6,degC,nearest_cell,77000.0,265000.0,691.0,53.62,-9.87,1,IE_TMIN_9120_V2.txt
killary,TMIN,m6,10.5,degC,nearest_cell,77000.0,265000.0,691.0,53.62,-9.87,1,IE_TMIN_9120_V2.txt
lehanagh_pool,RR,ANN,1530.2,mm,nearest_cell,80000.0,241000.0,1177.4,53.4,-9.82,1,IE_RR_9120_V2.txt
lehanagh_pool,RR,JJA,331.6,mm,nearest_cell,80000.0,241000.0,1177.4,53.4,-9.82,1,IE_RR_9120_V2.txt
lehanagh_pool,RR,m6,94.6,mm,nearest_cell,80000.0,241000.0,1177.4,53.4,-9.82,1,IE_RR_9120_V2.txt
lehanagh_pool,TMAX,ANN,13.6,degC,nearest_cell,80000.0,241000.0,1177.4,53.4,-9.82,1,IE_TMAX_9120_V2.txt
lehanagh_pool,TMAX,JJA,18.0,degC,nearest_cell,80000.0,241000.0,1177.4,53.4,-9.82,1,IE_TMAX_9120_V2.txt
lehanagh_pool,TMAX,m6,17.3,degC,nearest_cell,80000.0,241000.0,1177.4,53.4,-9.82,1,IE_TMAX_9120_V2.txt
lehanagh_pool,TMEAN,ANN,10.5,degC,nearest_cell,80000.0,241000.0,1177.4,53.4,-9.82,1,IE_TMEAN_9120_V2.txt
lehanagh_pool,TMEAN,JJA,14.8,degC,nearest_cell,80000.0,241000.0,1177.4,53.4,-9.82,1,IE_TMEAN_9120_V2.txt
lehanagh_pool,TMEAN,m6,13.8,degC,nearest_cell,80000.0,241000.0,1177.4,53.4,-9.82,1,IE_TMEAN_9120_V2.txt
lehanagh_pool,TMIN,ANN,7.4,degC,nearest_cell,80000.0,241000.0,1177.4,53.4,-9.82,1,IE_TMIN_9120_V2.txt
lehanagh_pool,TMIN,JJA,11.6,degC,nearest_cell,80000.0,241000.0,1177.4,53.4,-9.82,1,IE_TMIN_9120_V2.txt
lehanagh_pool,TMIN,m6,10.4,degC,nearest_cell,80000.0,241000.0,1177.4,53.4,-9.82,1,IE_TMIN_9120_V2.txt
mace_head,RR,ANN,1237.8,mm,nearest_cell,74000.0,232000.0,680.7,53.326,-9.901,1,IE_RR_9120_V2.txt
mace_head,RR,JJA,275.3,mm,nearest_cell,74000.0,232000.0,680.7,53.326,-9.901,1,IE_RR_9120_V2.txt
mace_head,RR,m6,79.0,mm,nearest_cell,74000.0,232000.0,680.7,53.326,-9.901,1,IE_RR_9120_V2.txt
mace_head,TMAX,ANN,13.0,degC,nearest_cell,74000.0,232000.0,680.7,53.326,-9.901,1,IE_TMAX_9120_V2.txt
mace_head,TMAX,JJA,17.1,degC,nearest_cell,74000.0,232000.0,680.7,53.326,-9.901,1,IE_TMAX_9120_V2.txt
mace_head,TMAX,m6,16.4,degC,nearest_cell,74000.0,232000.0,680.7,53.326,-9.901,1,IE_TMAX_9120_V2.txt
mace_head,TMEAN,ANN,10.6,degC,nearest_cell,74000.0,232000.0,680.7,53.326,-9.901,1,IE_TMEAN_9120_V2.txt
mace_head,TMEAN,JJA,14.6,degC,nearest_cell,74000.0,232000.0,680.7,53.326,-9.901,1,IE_TMEAN_9120_V2.txt
mace_head,TMEAN,m6,13.7,degC,nearest_cell,74000.0,232000.0,680.7,53.326,-9.901,1,IE_TMEAN_9120_V2.txt
mace_head,TMIN,ANN,8.2,degC,nearest_cell,74000.0,232000.0,680.7,53.326,-9.901,1,IE_TMIN_9120_V2.txt
mace_head,TMIN,JJA,12.1,degC,nearest_cell,74000.0,232000.0,680.7,53.326,-9.901,1,IE_TMIN_9120_V2.txt
mace_head,TMIN,m6,11.0,degC,nearest_cell,74000.0,232000.0,680.7,53.326,-9.901,1,IE_TMIN_9120_V2.txt
