year,month,precip_mm
1863,8,124.9
1863,9,114.5
1863,10,172.7
1863,11,124.0
1863,12,94.7
1864,1,79.9
1864,2,51.2
1864,3,88.2
1864,4,45.8
1864,5,52.6
1864,6,80.0
1864,7,39.7
1864,8,54.8
1864,9,96.8
1864,10,97.4
1864,11,156.6
1864,12,81.8
1865,1,120.4
1865,2,92.1
1865,3,78.6
1865,4,36.2
1865,5,111.1
1865,6,26.0
1865,7,85.2
1865,8,126.5
1865,9,29.6
1865,10,144.7
1865,11,161.3
1865,12,127.2
1866,1,146.9
1866,2,84.6
1866,3,100.3
1866,4,68.4
1866,5,46.5
1866,6,89.2
1866,7,47.7
1866,8,112.0
1866,9,129.2
1866,10,69.2
1866,11,89.2
1866,12,118.4
1867,1,104.6
1867,2,89.6
1867,3,83.3
1867,4,97.1
1867,5,106.9
1867,6,33.8
1867,7,99.6
1867,8,85.8
1867,9,71.9
1867,10,144.9
1867,11,32.5
1867,12,62.7
1868,1,132.1
1868,2,80.2
1868,3,104.7
1868,4,69.1
1868,5,69.7
1868,6,35.0
1868,7,40.8
1868,8,130.1
1868,9,91.5
1868,10,92.1
1868,11,109.3
1868,12,192.8
1869,1,149.5
1869,2,101.3
1869,3,76.2
1869,4,73.3
1869,5,95.5
1869,6,28.1
1869,7,62.4
1869,8,42.6
1869,9,159.3
1869,10,41.8
1869,11,103.0
1869,12,142.2
1870,1,106.6
1870,2,79.0
1870,3,60.0
1870,4,41.0
1870,5,74.5
1870,6,31.6
1870,7,41.5
1870,8,60.4
1870,9,81.8
1870,10,207.1
1870,11,69.3
1870,12,76.1
1871,1,125.9
1871,2,93.7
1871,3,69.3
1871,4,106.2
1871,5,26.3
1871,6,81.6
1871,7,148.2
1871,8,74.8
1871,9,83.3
1871,10,111.0
1871,11,80.0
1871,12,76.1
1872,1,152.9
1872,2,117.6
1872,3,89.5
1872,4,69.3
1872,5,56.7
1872,6,110.5
1872,7,88.2
1872,8,115.7
1872,9,124.6
1872,10,140.0
1872,11,145.2
1872,12,194.7
1873,1,160.0
1873,2,43.9
1873,3,91.7
1873,4,38.8
1873,5,57.6
1873,6,50.0
1873,7,134.0
1873,8,151.7
1873,9,94.5
1873,10,112.7
1873,11,75.2
1873,12,35.4
1874,1,81.2
1874,2,80.6
1874,3,54.1
1874,4,62.0
1874,5,38.9
1874,6,43.0
1874,7,82.0
1874,8,120.5
1874,9,107.6
1874,10,137.9
1874,11,118.7
1874,12,122.4
1875,1,166.6
1875,2,53.1
1875,3,40.6
1875,4,35.4
1875,5,67.9
1875,6,94.8
1875,7,79.0
1875,8,81.6
1875,9,149.1
1875,10,173.1
1875,11,118.5
1875,12,66.1
1876,1,56.0
1876,2,134.4
1876,3,111.2
1876,4,81.4
1876,5,20.1
1876,6,51.8
1876,7,51.9
1876,8,103.3
1876,9,125.7
1876,10,134.8
1876,11,131.2
1876,12,205.0
1877,1,170.9
1877,2,74.2
1877,3,86.2
1877,4,118.2
1877,5,76.3
1877,6,83.4
1877,7,82.8
1877,8,141.5
1877,9,79.3
1877,10,136.3
1877,11,162.4
1877,12,118.4
1878,1,94.8
1878,2,62.4
1878,3,46.3
1878,4,75.4
1878,5,122.0
1878,6,133.9
1878,7,40.5
1878,8,114.8
1878,9,92.7
1878,10,107.7
1878,11,66.1
1878,12,67.4
1879,1,101.7
1879,2,120.4
1879,3,55.1
1879,4,70.5
1879,5,71.0
1879,6,155.0
1879,7,119.9
1879,8,122.6
1879,9,121.6
1879,10,47.4
1879,11,28.6
1879,12,56.5
1880,1,47.7
1880,2,107.4
1880,3,91.9
1880,4,100.7
1880,5,37.4
1880,6,88.5
1880,7,146.3
1880,8,52.0
1880,9,84.8
1880,10,85.8
1880,11,133.4
1880,12,99.2
1881,1,36.5
1881,2,118.1
1881,3,103.5
1881,4,45.2
1881,5,66.8
1881,6,128.1
1881,7,69.6
1881,8,130.3
1881,9,74.4
1881,10,103.8
1881,11,146.7
1881,12,125.4
1882,1,80.2
1882,2,94.5
1882,3,84.2
1882,4,117.6
1882,5,77.3
1882,6,97.3
1882,7,138.7
1882,8,90.8
1882,9,91.8
1882,10,115.7
1882,11,148.3
1882,12,116.2
1883,1,167.2
1883,2,174.4
1883,3,49.1
1883,4,66.7
1883,5,62.3
1883,6,59.8
1883,7,108.0
1883,8,109.7
1883,9,134.1
1883,10,99.4
1883,11,127.0
1883,12,57.0
1884,1,145.0
1884,2,156.7
1884,3,117.9
1884,4,45.2
1884,5,71.9
1884,6,26.3
1884,7,94.4
1884,8,49.6
1884,9,72.2
1884,10,73.1
1884,11,97.3
1884,12,116.6
1885,1,98.2
1885,2,127.0
1885,3,75.9
1885,4,90.2
1885,5,72.4
1885,6,30.3
1885,7,56.9
1885,8,84.0
1885,9,144.0
1885,10,115.2
1885,11,74.4
1885,12,46.7
1886,1,112.6
1886,2,82.6
1886,3,100.7
1886,4,62.8
1886,5,111.8
1886,6,44.0
1886,7,103.1
1886,8,75.6
1886,9,109.2
1886,10,150.9
1886,11,91.3
1886,12,146.1
1887,1,102.2
1887,2,47.4
1887,3,45.3
1887,4,49.8
1887,5,38.8
1887,6,14.9
1887,7,71.6
1887,8,84.4
1887,9,85.5
1887,10,69.9
1887,11,94.4
1887,12,84.8
1888,1,89.7
1888,2,25.7
1888,3,98.3
1888,4,55.9
1888,5,76.7
1888,6,121.9
1888,7,139.8
1888,8,88.4
1888,9,33.2
1888,10,65.0
1888,11,129.3
1888,12,142.0
1889,1,90.3
1889,2,81.1
1889,3,50.5
1889,4,74.6
1889,5,102.7
1889,6,28.0
1889,7,63.7
1889,8,160.4
1889,9,55.1
1889,10,135.2
1889,11,57.5
1889,12,109.1
1890,1,143.3
1890,2,45.7
1890,3,97.9
1890,4,45.9
1890,5,75.9
1890,6,88.2
1890,7,73.1
1890,8,84.7
1890,9,85.3
1890,10,65.0
1890,11,171.8
1890,12,70.3
1891,1,58.7
1891,2,10.1
1891,3,48.5
1891,4,61.4
1891,5,87.7
1891,6,74.2
1891,7,53.6
1891,8,161.3
1891,9,82.9
1891,10,141.8
1891,11,103.1
1891,12,158.8
1892,1,70.9
1892,2,81.0
1892,3,27.9
1892,4,32.6
1892,5,112.3
1892,6,70.7
1892,7,90.1
1892,8,164.6
1892,9,101.3
1892,10,89.7
1892,11,134.3
1892,12,74.8
1893,1,88.3
1893,2,102.2
1893,3,23.6
1893,4,29.8
1893,5,50.0
1893,6,53.2
1893,7,74.2
1893,8,113.7
1893,9,58.2
1893,10,81.4
1893,11,65.3
1893,12,116.7
1894,1,131.9
1894,2,94.9
1894,3,62.2
1894,4,107.6
1894,5,72.3
1894,6,62.8
1894,7,114.1
1894,8,88.7
1894,9,16.3
1894,10,123.3
1894,11,116.4
1894,12,97.2
1895,1,103.4
1895,2,29.8
1895,3,99.5
1895,4,57.7
1895,5,18.3
1895,6,59.2
1895,7,124.4
1895,8,139.0
1895,9,28.5
1895,10,104.3
1895,11,141.8
1895,12,155.0
1896,1,48.8
1896,2,56.5
1896,3,119.7
1896,4,35.5
1896,5,11.2
1896,6,70.7
1896,7,148.5
1896,8,59.9
1896,9,159.2
1896,10,101.0
1896,11,34.8
1896,12,165.6
1897,1,73.1
1897,2,72.5
1897,3,147.3
1897,4,112.0
1897,5,47.8
1897,6,119.6
1897,7,60.6
1897,8,149.4
1897,9,77.3
1897,10,90.1
1897,11,127.6
1897,12,139.9
1898,1,78.5
1898,2,79.1
1898,3,34.1
1898,4,109.8
1898,5,89.4
1898,6,77.7
1898,7,31.9
1898,8,132.8
1898,9,88.4
1898,10,123.5
1898,11,122.7
1898,12,95.1
1899,1,133.4
1899,2,100.1
1899,3,52.7
1899,4,98.6
1899,5,87.8
1899,6,60.3
1899,7,77.0
1899,8,67.9
1899,9,82.4
1899,10,57.9
1899,11,92.9
1899,12,184.8
1900,1,112.6
1900,2,107.5
1900,3,25.7
1900,4,66.8
1900,5,79.4
1900,6,117.7
1900,7,75.4
1900,8,134.8
1900,9,46.5
1900,10,133.2
1900,11,163.8
1900,12,141.5
1901,1,108.7
1901,2,42.9
1901,3,80.6
1901,4,81.1
1901,5,49.1
1901,6,75.6
1901,7,33.3
1901,8,98.6
1901,9,133.6
1901,10,107.6
1901,11,96.4
1901,12,118.5
1902,1,70.9
1902,2,83.5
1902,3,67.2
1902,4,73.1
1902,5,69.5
1902,6,74.0
1902,7,80.7
1902,8,76.2
1902,9,86.8
1902,10,69.9
1902,11,144.8
1902,12,96.4
1903,1,161.1
1903,2,97.8
1903,3,168.6
1903,4,49.1
1903,5,70.7
1903,6,68.1
1903,7,129.9
1903,8,150.5
1903,9,106.0
1903,10,156.0
1903,11,73.2
1903,12,104.2
1904,1,120.1
1904,2,133.1
1904,3,77.1
1904,4,60.5
1904,5,65.3
1904,6,54.8
1904,7,99.8
1904,8,114.2
1904,9,96.1
1904,10,64.9
1904,11,75.2
1904,12,83.1
1905,1,75.3
1905,2,54.1
1905,3,135.1
1905,4,77.9
1905,5,37.3
1905,6,55.5
1905,7,49.2
1905,8,157.4
1905,9,52.7
1905,10,47.7
1905,11,113.9
1905,12,75.8
1906,1,135.2
1906,2,84.4
1906,3,67.6
1906,4,52.4
1906,5,99.0
1906,6,49.0
1906,7,64.8
1906,8,87.1
1906,9,34.5
1906,10,131.7
1906,11,72.5
1906,12,90.0
1907,1,47.0
1907,2,63.6
1907,3,75.6
1907,4,75.9
1907,5,104.7
1907,6,111.4
1907,7,69.7
1907,8,95.8
1907,9,40.0
1907,10,140.7
1907,11,92.7
1907,12,130.3
1908,1,84.4
1908,2,67.2
1908,3,106.3
1908,4,67.0
1908,5,74.4
1908,6,51.0
1908,7,81.3
1908,8,97.7
1908,9,151.4
1908,10,60.5
1908,11,73.7
1908,12,116.4
1909,1,72.8
1909,2,53.1
1909,3,91.9
1909,4,128.0
1909,5,52.0
1909,6,53.6
1909,7,75.7
1909,8,40.4
1909,9,63.1
1909,10,158.4
1909,11,49.7
1909,12,120.8
1910,1,101.1
1910,2,145.4
1910,3,67.5
1910,4,67.6
1910,5,65.0
1910,6,108.8
1910,7,88.8
1910,8,155.0
1910,9,28.7
1910,10,69.9
1910,11,114.7
1910,12,115.7
1911,1,46.7
1911,2,81.8
1911,3,56.6
1911,4,67.2
1911,5,56.2
1911,6,55.1
1911,7,80.3
