aoi,iso_year,iso_week,week_start,n_samples,Mean_Dinoflagellates,Mean_Diatoms,Mean_Copepods,Mean_LargeCopepods,Mean_SmallCopepods,PCI,lat_min,lat_max,lon_min,lon_max,cpr_mean_dinoflagellates,cpr_mean_diatoms,cpr_mean_large_copepods,cpr_mean_small_copepods,cpr_pci,n,year,week
full_extract,1981,53,1981-12-28,10,0.0,0.0,0.01363636363636363,0.01363636363636363,0.0,0.0,49.0,61.0,-16.0,0.0,0.0,0.0,0.01363636363636363,0.0,0.0,10,1981,53
full_extract,1982,1,1982-01-04,24,0.0,0.0,0.8159722222222223,0.18465909090909063,0.6313131313131316,0.0,49.0,61.0,-16.0,0.0,0.0,0.0,0.18465909090909063,0.6313131313131316,0.0,24,1982,1
full_extract,1982,2,1982-01-11,22,0.0,0.0,0.011363636363636364,0.011363636363636364,0.0,0.0,49.0,61.0,-16.0,0.0,0.0,0.0,0.011363636363636364,0.0,0.0,22,1982,2
full_extract,1982,5,1982-02-01,9,0.0,0.0,0.5126262626262631,0.007575757575757579,0.5050505050505056,0.0,49.0,61.0,-16.0,0.0,0.0,0.0,0.007575757575757579,0.5050505050505056,0.0,9,1982,5
full_extract,1982,6,1982-02-08,56,6.087662337662339,58.54800936768141,2.361201298701299,0.08847402597402601,2.272727272727273,0.16071428571428573,49.0,61.0,-16.0,0.0,6.087662337662339,58.54800936768141,0.08847402597402601,2.272727272727273,0.16071428571428573,56,1982,6
full_extract,1982,7,1982-02-15,9,0.0,27.322404371584668,10.353535353535362,0.2525252525252526,10.10101010101011,0.5555555555555556,49.0,61.0,-16.0,0.0,0.0,27.322404371584668,0.2525252525252526,10.10101010101011,0.5555555555555556,9,1982,7
full_extract,1982,8,1982-02-22,8,0.0,0.0,0.7973484848484846,0.039772727272727265,0.7575757575757575,0.0,49.0,61.0,-16.0,0.0,0.0,0.0,0.039772727272727265,0.7575757575757575,0.0,8,1982,8
full_extract,1982,9,1982-03-01,24,0.0,10.24590163934425,0.1433080808080808,0.017045454545454548,0.12626262626262624,0.0,49.0,61.0,-16.0,0.0,0.0,10.24590163934425,0.017045454545454548,0.12626262626262624,0.0,24,1982,9
full_extract,1982,10,1982-03-08,11,0.0,0.0,0.008264462809917354,0.008264462809917354,0.0,0.0,49.0,61.0,-16.0,0.0,0.0,0.0,0.008264462809917354,0.0,0.0,11,1982,10
full_extract,1982,11,1982-03-15,46,7.411067193675891,285.1033499643623,1.1824769433465077,0.029644268774703532,1.152832674571804,0.06521739130434782,49.0,61.0,-16.0,0.0,7.411067193675891,285.1033499643623,0.029644268774703532,1.152832674571804,0.06521739130434782,46,1982,11
