iso_year,iso_week,wdsp,glorad,sun,maxtp,mintp,rain,station_no,station_name
1956,38,10.799999999999999,,,17.714285714285715,11.0,1.657142857142857,2375,Belmullet
1956,39,16.657142857142855,,,16.414285714285715,11.085714285714285,5.471428571428571,2375,Belmullet
1956,40,12.642857142857142,,,12.885714285714286,7.028571428571429,1.7285714285714284,2375,Belmullet
1956,41,7.328571428571428,,,14.971428571428572,8.0,0.5857142857142856,2375,Belmullet
1956,42,15.814285714285715,,,14.257142857142856,9.314285714285715,6.6000000000000005,2375,Belmullet
1956,43,15.328571428571427,,,12.557142857142855,6.371428571428572,5.2,2375,Belmullet
1956,44,9.685714285714285,,,10.185714285714285,5.728571428571429,0.09999999999999999,2375,Belmullet
1956,45,15.942857142857141,,,12.114285714285714,6.771428571428572,2.542857142857143,2375,Belmullet
1956,46,11.314285714285715,,,10.557142857142859,7.757142857142857,0.7857142857142857,2375,Belmullet
1956,47,11.4,,,10.557142857142855,4.871428571428572,1.4714285714285715,2375,Belmullet
1956,48,16.571428571428573,,,10.171428571428573,5.785714285714286,2.685714285714286,2375,Belmullet
1956,49,15.828571428571427,,,11.457142857142857,8.885714285714286,2.957142857142857,2375,Belmullet
1956,50,26.385714285714283,,,10.357142857142858,3.542857142857143,9.542857142857143,2375,Belmullet
1956,51,12.12857142857143,,,9.314285714285715,3.8000000000000003,2.914285714285714,2375,Belmullet
1956,52,13.200000000000001,,,8.028571428571428,3.5714285714285716,8.228571428571428,2375,Belmullet
1957,1,15.285714285714286,,,10.299999999999999,5.3428571428571425,7.128571428571428,2375,Belmullet
1957,2,17.442857142857143,,,10.071428571428571,6.414285714285714,1.1285714285714286,2375,Belmullet
1957,3,9.442857142857141,,,7.928571428571429,1.542857142857143,1.0571428571428572,2375,Belmullet
1957,4,15.428571428571429,,,7.928571428571429,2.685714285714286,6.914285714285714,2375,Belmullet
1957,5,19.571428571428573,,,9.242857142857144,3.542857142857143,8.714285714285714,2375,Belmullet
1957,6,16.97142857142857,,,9.771428571428572,4.728571428571429,5.6571428571428575,2375,Belmullet
1957,7,9.814285714285715,,,7.571428571428571,2.3000000000000003,6.914285714285714,2375,Belmullet
1957,8,11.328571428571427,,,7.585714285714286,1.5428571428571427,4.571428571428571,2375,Belmullet
1957,9,10.942857142857145,,,10.27142857142857,5.685714285714285,1.7285714285714284,2375,Belmullet
1957,10,11.842857142857143,,,12.328571428571427,8.014285714285714,2.0,2375,Belmullet
1957,11,16.142857142857142,,,12.1,8.885714285714286,3.842857142857143,2375,Belmullet
1957,12,12.87142857142857,,,10.357142857142858,5.057142857142857,6.071428571428571,2375,Belmullet
1957,13,10.014285714285714,,,13.557142857142859,6.6571428571428575,0.9428571428571428,2375,Belmullet
1957,14,10.5,,,13.12857142857143,6.6571428571428575,1.1714285714285713,2375,Belmullet
1957,15,10.971428571428572,,,11.328571428571427,5.728571428571429,0.9285714285714286,2375,Belmullet
1957,16,13.771428571428572,,,12.1,6.214285714285714,4.571428571428571,2375,Belmullet
1957,17,7.271428571428571,,,13.828571428571427,5.028571428571429,0.2,2375,Belmullet
1957,18,10.742857142857144,,,13.042857142857143,7.7,0.2857142857142857,2375,Belmullet
1957,19,7.8999999999999995,,,13.314285714285715,5.857142857142857,1.8142857142857145,2375,Belmullet
1957,20,14.299999999999999,,,14.171428571428573,7.442857142857143,2.457142857142857,2375,Belmullet
1957,21,9.357142857142858,,,16.5,7.5,1.2285714285714284,2375,Belmullet
1957,22,10.714285714285714,,,15.942857142857141,9.171428571428573,0.6,2375,Belmullet
1957,23,12.200000000000001,,,14.0,6.414285714285714,0.5285714285714286,2375,Belmullet
1957,24,9.785714285714286,,,18.928571428571427,10.37142857142857,0.2,2375,Belmullet
1957,25,8.0,,,23.457142857142856,11.571428571428571,0.05714285714285715,2375,Belmullet
1957,26,11.485714285714286,,,17.285714285714285,10.5,4.557142857142857,2375,Belmullet
1957,27,9.299999999999999,,,18.37142857142857,11.257142857142856,2.042857142857143,2375,Belmullet
1957,28,12.242857142857144,,,15.785714285714286,10.957142857142857,4.085714285714286,2375,Belmullet
1957,29,11.028571428571428,,,16.728571428571428,11.914285714285713,3.457142857142857,2375,Belmullet
1957,30,14.357142857142858,,,16.957142857142856,12.828571428571427,4.0285714285714285,2375,Belmullet
1957,31,7.3428571428571425,,,18.8,11.928571428571429,1.7571428571428573,2375,Belmullet
1957,32,8.342857142857143,,,18.87142857142857,12.842857142857143,1.3857142857142857,2375,Belmullet
1957,33,13.342857142857143,,,16.45714285714286,11.0,0.9571428571428572,2375,Belmullet
1957,34,17.157142857142855,,,16.5,10.757142857142856,7.014285714285714,2375,Belmullet
1957,35,7.971428571428571,,,16.385714285714286,9.357142857142858,1.4714285714285715,2375,Belmullet
