iso_year,iso_week,met_mace_glorad,met_mace_sun,met_mace_wdsp,met_mace_rain,met_belmullet_glorad,met_belmullet_sun,met_belmullet_wdsp,met_belmullet_rain,met_newport_glorad,met_newport_sun,met_newport_wdsp,met_newport_rain,met_valentia_glorad,met_valentia_sun,met_valentia_wdsp,met_valentia_rain,met_malin_glorad,met_malin_sun,met_malin_wdsp,met_malin_rain,met_west_glorad,met_west_sun,met_west_wdsp,met_sun,met_glorad,met_wdsp
1942,52,,,,,,,,,,,,,,,14.55714285714286,2.414285714285714,,,,,,,14.55714285714286,,,
1942,53,,,,,,,,,,,,,,,14.414285714285713,3.2857142857142856,,,,,,,14.414285714285713,,,
1943,1,,,,,,,,,,,,,,,10.528571428571428,7.0,,,,,,,10.528571428571428,,,
1943,2,,,,,,,,,,,,,,,11.928571428571429,8.32857142857143,,,,,,,11.928571428571429,,,
1943,3,,,,,,,,,,,,,,,14.042857142857144,7.1000000000000005,,,,,,,14.042857142857144,,,
1943,4,,,,,,,,,,,,,,,16.142857142857142,6.371428571428572,,,,,,,16.142857142857142,,,
1943,5,,,,,,,,,,,,,,,14.842857142857143,3.628571428571429,,,,,,,14.842857142857143,,,
1943,6,,,,,,,,,,,,,,,16.285714285714285,4.228571428571429,,,,,,,16.285714285714285,,,
1943,7,,,,,,,,,,,,,,,10.285714285714286,0.7000000000000001,,,,,,,10.285714285714286,,,
1943,8,,,,,,,,,,,,,,,8.157142857142857,0.3571428571428571,,,,,,,8.157142857142857,,,
1943,9,,,,,,,,,,,,,,,5.685714285714285,0.4142857142857142,,,,,,,5.685714285714285,,,
1943,10,,,,,,,,,,,,,,,8.3,0.7000000000000001,,,,,,,8.3,,,
1943,11,,,,,,,,,,,,,,,12.542857142857144,1.2857142857142858,,,,,,,12.542857142857144,,,
1943,12,,,,,,,,,,,,,,,13.314285714285717,1.5285714285714285,,,,,,,13.314285714285717,,,
1943,13,,,,,,,,,,,,,,,13.414285714285716,0.8571428571428571,,,,,,,13.414285714285716,,,
1943,14,,,,,,,,,,,,,,,12.514285714285714,0.2714285714285714,,,,,,,12.514285714285714,,,
1943,15,,,,,,,,,,,,,,,9.614285714285714,3.4,,,,,,,9.614285714285714,,,
1943,16,,,,,,,,,,,,,,,15.071428571428571,6.042857142857143,,,,,,,15.071428571428571,,,
1943,17,,,,,,,,,,,,,,,12.157142857142857,2.0,,,,,,,12.157142857142857,,,
1943,18,,,,,,,,,,,,,,,15.942857142857145,8.22857142857143,,,,,,,15.942857142857145,,,
1943,19,,,,,,,,,,,,,,,11.6,4.9,,,,,,,11.6,,,
