year,month,nao,date
1966,1,-1.74,1966-01-01
1966,2,-1.39,1966-02-01
1966,3,0.56,1966-03-01
1966,4,-0.75,1966-04-01
1966,5,0.22,1966-05-01
1966,6,1.05,1966-06-01
1966,7,0.32,1966-07-01
1966,8,-1.76,1966-08-01
1966,9,-0.45,1966-09-01
1966,10,-0.68,1966-10-01
1966,11,-0.04,1966-11-01
1966,12,0.72,1966-12-01
1967,1,-0.89,1967-01-01
1967,2,0.19,1967-02-01
1967,3,1.51,1967-03-01
1967,4,0.18,1967-04-01
1967,5,-0.99,1967-05-01
1967,6,1.4,1967-06-01
1967,7,0.41,1967-07-01
1967,8,1.44,1967-08-01
1967,9,0.93,1967-09-01
1967,10,0.07,1967-10-01
1967,11,0.6,1967-11-01
1967,12,-0.45,1967-12-01
1968,1,0.13,1968-01-01
1968,2,-1.29,1968-02-01
1968,3,0.4,1968-03-01
1968,4,-1.08,1968-04-01
1968,5,-1.76,1968-05-01
1968,6,0.33,1968-06-01
1968,7,-0.8,1968-07-01
1968,8,-0.66,1968-08-01
1968,9,-1.92,1968-09-01
1968,10,-2.3,1968-10-01
1968,11,-0.93,1968-11-01
1968,12,-1.4,1968-12-01
1969,1,-0.83,1969-01-01
1969,2,-1.55,1969-02-01
1969,3,-1.56,1969-03-01
1969,4,1.53,1969-04-01
1969,5,0.55,1969-05-01
1969,6,0.55,1969-06-01
1969,7,0.57,1969-07-01
1969,8,-1.45,1969-08-01
1969,9,2.07,1969-09-01
1969,10,0.66,1969-10-01
1969,11,-0.96,1969-11-01
1969,12,-0.28,1969-12-01
1970,1,-1.5,1970-01-01
1970,2,0.64,1970-02-01
1970,3,-0.96,1970-03-01
1970,4,-1.3,1970-04-01
1970,5,1.14,1970-05-01
1970,6,1.55,1970-06-01
1970,7,0.1,1970-07-01
1970,8,0.1,1970-08-01
1970,9,-0.09,1970-09-01
1970,10,-0.92,1970-10-01
1970,11,-0.6,1970-11-01
1970,12,-1.2,1970-12-01
1971,1,-1.13,1971-01-01
1971,2,0.24,1971-02-01
1971,3,-0.84,1971-03-01
1971,4,-0.24,1971-04-01
1971,5,0.5,1971-05-01
1971,6,-1.57,1971-06-01
1971,7,0.24,1971-07-01
1971,8,1.55,1971-08-01
1971,9,0.39,1971-09-01
1971,10,0.58,1971-10-01
1971,11,-0.2,1971-11-01
1971,12,0.6,1971-12-01
1972,1,0.27,1972-01-01
1972,2,0.32,1972-02-01
1972,3,0.72,1972-03-01
1972,4,-0.22,1972-04-01
1972,5,0.95,1972-05-01
1972,6,0.88,1972-06-01
1972,7,0.18,1972-07-01
1972,8,1.32,1972-08-01
1972,9,-0.12,1972-09-01
1972,10,1.09,1972-10-01
1972,11,0.54,1972-11-01
1972,12,0.19,1972-12-01
1973,1,0.04,1973-01-01
1973,2,0.85,1973-02-01
1973,3,0.3,1973-03-01
1973,4,-0.54,1973-04-01
1973,5,-0.44,1973-05-01
1973,6,0.39,1973-06-01
1973,7,0.57,1973-07-01
1973,8,-0.06,1973-08-01
1973,9,-0.3,1973-09-01
1973,10,-1.24,1973-10-01
1973,11,-0.93,1973-11-01
1973,12,0.32,1973-12-01
1974,1,1.34,1974-01-01
1974,2,-0.14,1974-02-01
1974,3,-0.03,1974-03-01
1974,4,0.51,1974-04-01
1974,5,-0.24,1974-05-01
1974,6,-0.14,1974-06-01
1974,7,-0.76,1974-07-01
1974,8,-0.64,1974-08-01
1974,9,0.82,1974-09-01
1974,10,0.49,1974-10-01
1974,11,-0.54,1974-11-01
1974,12,1.5,1974-12-01
1975,1,0.58,1975-01-01
1975,2,-0.62,1975-02-01
1975,3,-0.61,1975-03-01
1975,4,-1.6,1975-04-01
1975,5,-0.52,1975-05-01
1975,6,-0.84,1975-06-01
1975,7,1.55,1975-07-01
1975,8,-0.26,1975-08-01
1975,9,1.56,1975-09-01
1975,10,-0.54,1975-10-01
1975,11,0.41,1975-11-01
1975,12,0.0,1975-12-01
1976,1,-0.25,1976-01-01
1976,2,0.93,1976-02-01
1976,3,0.75,1976-03-01
1976,4,0.26,1976-04-01
1976,5,0.96,1976-05-01
1976,6,0.8,1976-06-01
1976,7,-0.32,1976-07-01
1976,8,1.92,1976-08-01
1976,9,-1.29,1976-09-01
1976,10,-0.08,1976-10-01
1976,11,0.17,1976-11-01
1976,12,-1.6,1976-12-01
1977,1,-1.04,1977-01-01
1977,2,-0.49,1977-02-01
1977,3,-0.81,1977-03-01
1977,4,0.65,1977-04-01
1977,5,-0.86,1977-05-01
1977,6,-0.57,1977-06-01
1977,7,-0.45,1977-07-01
1977,8,-0.28,1977-08-01
1977,9,0.37,1977-09-01
1977,10,0.52,1977-10-01
1977,11,-0.07,1977-11-01
1977,12,-1.0,1977-12-01
1978,1,0.66,1978-01-01
1978,2,-2.2,1978-02-01
1978,3,0.7,1978-03-01
1978,4,-1.17,1978-04-01
1978,5,1.08,1978-05-01
1978,6,1.38,1978-06-01
1978,7,-1.14,1978-07-01
1978,8,0.64,1978-08-01
1978,9,0.46,1978-09-01
1978,10,1.93,1978-10-01
1978,11,3.04,1978-11-01
1978,12,-1.57,1978-12-01
1979,1,-1.38,1979-01-01
1979,2,-0.67,1979-02-01
1979,3,0.78,1979-03-01
1979,4,-1.71,1979-04-01
1979,5,-1.03,1979-05-01
1979,6,1.6,1979-06-01
1979,7,0.83,1979-07-01
1979,8,0.96,1979-08-01
1979,9,1.01,1979-09-01
1979,10,-0.3,1979-10-01
1979,11,0.53,1979-11-01
1979,12,1.0,1979-12-01
1980,1,-0.75,1980-01-01
1980,2,0.05,1980-02-01
1980,3,-0.31,1980-03-01
1980,4,1.29,1980-04-01
1980,5,-1.5,1980-05-01
1980,6,-0.37,1980-06-01
1980,7,-0.42,1980-07-01
1980,8,-2.24,1980-08-01
1980,9,0.66,1980-09-01
1980,10,-1.77,1980-10-01
1980,11,-0.37,1980-11-01
1980,12,0.78,1980-12-01
1981,1,0.37,1981-01-01
1981,2,0.92,1981-02-01
1981,3,-1.19,1981-03-01
1981,4,0.36,1981-04-01
1981,5,0.2,1981-05-01
1981,6,-0.45,1981-06-01
1981,7,0.05,1981-07-01
1981,8,0.39,1981-08-01
1981,9,-1.45,1981-09-01
1981,10,-1.35,1981-10-01
1981,11,-0.38,1981-11-01
1981,12,-0.02,1981-12-01
1982,1,-0.89,1982-01-01
1982,2,1.15,1982-02-01
1982,3,1.15,1982-03-01
1982,4,0.1,1982-04-01
1982,5,-0.53,1982-05-01
1982,6,-1.63,1982-06-01
1982,7,1.15,1982-07-01
1982,8,0.26,1982-08-01
1982,9,1.76,1982-09-01
