year,month,nao,date
2020,6,-0.15,2020-06-01
2020,7,-1.23,2020-07-01
2020,8,0.12,2020-08-01
2020,9,0.98,2020-09-01
2020,10,-0.65,2020-10-01
2020,11,2.54,2020-11-01
2020,12,-0.3,2020-12-01
2021,1,-1.11,2021-01-01
2021,2,0.14,2021-02-01
2021,3,0.73,2021-03-01
2021,4,-1.43,2021-04-01
2021,5,-1.24,2021-05-01
2021,6,0.77,2021-06-01
2021,7,0.03,2021-07-01
2021,8,-0.28,2021-08-01
2021,9,-0.21,2021-09-01
2021,10,-2.29,2021-10-01
2021,11,-0.18,2021-11-01
2021,12,0.29,2021-12-01
2022,1,1.08,2022-01-01
2022,2,1.68,2022-02-01
2022,3,0.77,2022-03-01
2022,4,-0.36,2022-04-01
2022,5,0.71,2022-05-01
2022,6,-0.12,2022-06-01
2022,7,-0.09,2022-07-01
2022,8,1.47,2022-08-01
2022,9,-1.61,2022-09-01
2022,10,-0.72,2022-10-01
2022,11,0.69,2022-11-01
2022,12,-0.15,2022-12-01
2023,1,1.25,2023-01-01
2023,2,0.92,2023-02-01
2023,3,-1.11,2023-03-01
2023,4,-0.63,2023-04-01
2023,5,0.39,2023-05-01
2023,6,-0.58,2023-06-01
2023,7,-2.17,2023-07-01
2023,8,-1.16,2023-08-01
2023,9,-0.44,2023-09-01
2023,10,-2.03,2023-10-01
2023,11,-0.32,2023-11-01
2023,12,1.94,2023-12-01
2024,1,0.21,2024-01-01
2024,2,1.09,2024-02-01
2024,3,-0.21,2024-03-01
2024,4,-0.78,2024-04-01
2024,5,-0.44,2024-05-01
2024,6,-0.09,2024-06-01
2024,7,1.46,2024-07-01
2024,8,0.63,2024-08-01
2024,9,-1.43,2024-09-01
2024,10,-0.38,2024-10-01
2024,11,-0.23,2024-11-01
2024,12,1.21,2024-12-01
2025,1,-0.52,2025-01-01
2025,2,1.6,2025-02-01
2025,3,0.3,2025-03-01
2025,4,0.18,2025-04-01
2025,5,0.49,2025-05-01
2025,6,0.7,2025-06-01
2025,7,0.48,2025-07-01
2025,8,0.26,2025-08-01
2025,9,-0.8,2025-09-01
2025,10,-0.96,2025-10-01
2025,11,-0.78,2025-11-01
2025,12,-0.65,2025-12-01
2026,1,-0.36,2026-01-01
2026,2,0.68,2026-02-01
2026,3,2.69,2026-03-01
2026,4,1.39,2026-04-01
2026,5,-0.74,2026-05-01
2026,6,0.1,2026-06-01
2026,7,-0.31,2026-07-01
