year,month,ea,date
2020,4,0.58,2020-04-01
2020,5,0.06,2020-05-01
2020,6,-0.08,2020-06-01
2020,7,0.46,2020-07-01
2020,8,1.57,2020-08-01
2020,9,1.95,2020-09-01
2020,10,-0.23,2020-10-01
2020,11,0.05,2020-11-01
2020,12,-0.8,2020-12-01
2021,1,-0.04,2021-01-01
2021,2,1.22,2021-02-01
2021,3,-0.18,2021-03-01
2021,4,0.31,2021-04-01
2021,5,0.8,2021-05-01
2021,6,1.02,2021-06-01
2021,7,2.16,2021-07-01
2021,8,1.08,2021-08-01
2021,9,1.7,2021-09-01
2021,10,0.86,2021-10-01
2021,11,-0.91,2021-11-01
2021,12,-0.06,2021-12-01
2022,1,-1.42,2022-01-01
2022,2,0.22,2022-02-01
2022,3,1.45,2022-03-01
2022,4,-0.93,2022-04-01
2022,5,0.18,2022-05-01
2022,6,0.51,2022-06-01
2022,7,1.42,2022-07-01
2022,8,1.37,2022-08-01
2022,9,-1.17,2022-09-01
2022,10,0.21,2022-10-01
2022,11,1.24,2022-11-01
2022,12,-0.01,2022-12-01
2023,1,-1.0,2023-01-01
2023,2,-0.81,2023-02-01
2023,3,0.49,2023-03-01
2023,4,-0.15,2023-04-01
2023,5,-0.14,2023-05-01
2023,6,-1.12,2023-06-01
2023,7,1.78,2023-07-01
2023,8,2.05,2023-08-01
2023,9,2.72,2023-09-01
2023,10,1.2,2023-10-01
2023,11,1.19,2023-11-01
2023,12,1.51,2023-12-01
2024,1,2.58,2024-01-01
2024,2,1.7,2024-02-01
2024,3,1.55,2024-03-01
2024,4,2.96,2024-04-01
2024,5,-0.16,2024-05-01
2024,6,1.32,2024-06-01
2024,7,2.39,2024-07-01
2024,8,3.67,2024-08-01
2024,9,1.26,2024-09-01
2024,10,0.97,2024-10-01
2024,11,1.1,2024-11-01
2024,12,-0.08,2024-12-01
2025,1,2.7,2025-01-01
2025,2,0.65,2025-02-01
2025,3,0.81,2025-03-01
2025,4,0.44,2025-04-01
2025,5,-0.04,2025-05-01
2025,6,1.7,2025-06-01
2025,7,1.83,2025-07-01
2025,8,1.71,2025-08-01
2025,9,3.6,2025-09-01
2025,10,0.08,2025-10-01
2025,11,1.06,2025-11-01
2025,12,0.06,2025-12-01
2026,1,0.5,2026-01-01
2026,2,2.07,2026-02-01
2026,3,-0.77,2026-03-01
2026,4,-0.1,2026-04-01
2026,5,0.7,2026-05-01
2026,6,0.85,2026-06-01
2026,7,0.99,2026-07-01
